,software testing,machine learning,artificial intelligence,deep learning,test automation,natural language processing,testing,software engineering,software defect prediction,test case generation,automated testing,automation,metamorphic testing,chatgpt,regression testing,neural networks,mutation testing,software quality assurance,software quality,fuzzing,large language model,ai,large language models,reinforcement learning,generative ai,systematic literature review,defect prediction,neural network,quality assurance,transfer learning,software fault prediction,random forest,clustering,computer vision,deep neural network,continuous integration,combinatorial testing,large language models (llms),artificial intelligence (ai),test case prioritization,convolutional neural network,nlp,anomaly detection,software metrics,genetic algorithm,machine learning (ml),classification,software reliability,empirical study,fault localization,internet of things,test cases,cnn,feature selection,black-box testing,llm,vulnerability detection,natural language processing (nlp),gui testing,defect detection
software testing,0,66,42,24,17,13,0,7,5,10,5,4,4,0,4,6,8,3,8,1,6,5,2,2,3,6,2,2,3,0,0,1,4,0,0,4,2,3,3,4,1,2,2,2,3,3,1,2,0,1,1,3,1,2,1,3,0,5,1,1
machine learning,66,0,29,13,15,11,8,7,11,2,8,11,5,1,4,2,5,5,4,2,1,3,2,5,0,4,3,5,6,3,3,6,2,1,0,1,3,0,0,2,0,0,2,6,1,0,4,4,0,1,4,0,1,2,1,0,0,0,1,1
artificial intelligence,42,29,0,5,17,5,1,9,0,0,5,3,0,4,1,1,1,4,2,0,2,3,2,1,1,2,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,2,0,1,1,0,1,0,1
deep learning,24,13,5,0,2,2,3,3,1,3,4,1,1,0,1,6,3,1,1,1,0,0,0,1,0,0,1,1,0,3,1,1,1,3,3,2,0,1,1,1,3,1,3,0,0,1,2,1,0,1,1,0,1,0,0,0,1,1,0,0
test automation,17,15,17,2,0,4,0,0,1,2,0,2,0,1,0,1,1,4,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,2,0,2,0,0
natural language processing,13,11,5,2,4,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
testing,0,8,1,3,0,0,0,2,0,1,1,2,2,1,1,5,1,0,0,1,1,1,0,4,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
software engineering,7,7,9,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
software defect prediction,5,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0
test case generation,10,2,0,3,2,4,1,0,0,0,1,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0
automated testing,5,8,5,4,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
automation,4,11,3,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
metamorphic testing,4,5,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
chatgpt,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
regression testing,4,4,1,1,0,1,1,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
neural networks,6,2,1,6,1,0,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0
mutation testing,8,5,1,3,1,0,1,0,0,0,0,0,1,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
software quality assurance,3,5,4,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
software quality,8,4,2,1,3,0,0,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fuzzing,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1
